#OTU ID,Expected,Observed_Tier1,EVEN_TIER,Pct,Pct_number,Code,Phylum,Species,Ratio
OTU_1,4596.753505,46024,T1,44.19477813,T_PCT1,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557
OTU_50,4596.753505,0,T1,0,T_PCT1,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557
OTU_15,2433.575385,1675,T1,1.608427198,T_PCT1,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853
OTU_33,2433.575385,0,T1,0,T_PCT1,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853
OTU_3,5948.73983,0,T1,0,T_PCT1,CBS675.73,Chytridiomycota,Chytridium confervae,0.057123074
OTU_27,1388.039294,233,T1,0.223739425,T_PCT1,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_43,1388.039294,25,T1,0.024006376,T_PCT1,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_45,1388.039294,0,T1,0,T_PCT1,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_52,1342.973083,2,T1,0.00192051,T_PCT1,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_20,1140.175134,0,T1,0,T_PCT1,CBS124948,Ascomycota,Colletotrichum tropicale,0.010948589
OTU_11,4686.885927,2245,T1,2.155772573,T_PCT1,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_29,4686.885927,0,T1,0,T_PCT1,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_32,4686.885927,0,T1,0,T_PCT1,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_41,4686.885927,0,T1,0,T_PCT1,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_54,4686.885927,3,T1,0.002880765,T_PCT1,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_22,4686.885927,852,T1,0.818137297,T_PCT1,CBS197.82,Ascomycota,Dendrothyrium variisporum,0.045006059
OTU_13,829.2182794,823,T1,0.790289901,T_PCT1,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261
OTU_14,829.2182794,0,T1,0,T_PCT1,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261
OTU_49,829.2182794,1,T1,0.000960255,T_PCT1,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261
OTU_30,1342.973083,0,T1,0,T_PCT1,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_51,1342.973083,0,T1,0,T_PCT1,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_53,1342.973083,0,T1,0,T_PCT1,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_9,1342.973083,1802,T1,1.730379589,T_PCT1,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_7,910.3374589,0,T1,0,T_PCT1,CBS107930,Basidiomycota,Hericium abietis,0.008741561
OTU_24,2451.601869,593,T1,0.569431241,T_PCT1,CBS130859,Ascomycota,Hypocrea orientalis,0.023541631
OTU_21,10455.36091,1372,T1,1.31746992,T_PCT1,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131
OTU_35,10455.36091,0,T1,0,T_PCT1,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131
OTU_17,1820.674918,930,T1,0.893037191,T_PCT1,CBS6001,Basidiomycota,Malassezia,0.017483123
OTU_42,4777.018349,308,T1,0.295758553,T_PCT1,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156
OTU_5,4777.018349,5358,T1,5.145046524,T_PCT1,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156
OTU_16,2794.105072,1848,T1,1.774551321,T_PCT1,CBS210.32,Zygomycota,Mortierella alpina,0.026830535
OTU_28,2740.025619,122,T1,0.117151115,T_PCT1,CBS122753,Ascomycota,Neophaeomoniella zymoides,0.026311234
OTU_4,10635.62576,23924,T1,22.97314167,T_PCT1,CBS251.37,Basidiomycota,Panaeolina foenisecii,0.102129133
OTU_23,2920.290462,486,T1,0.466683951,T_PCT1,CBS186.71,Ascomycota,Pestalotiopsis chamaeropis,0.028042236
OTU_2,423.6223819,1923,T1,1.846570449,T_PCT1,P3112,Basidiomycota,Pucciniomycotina,0.004067855
OTU_18,2559.760775,0,T1,0,T_PCT1,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_19,2559.760775,2117,T1,2.032859928,T_PCT1,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_31,2559.760775,0,T1,0,T_PCT1,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_34,2559.760775,0,T1,0,T_PCT1,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_40,2559.760775,0,T1,0,T_PCT1,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_46,2559.760775,0,T1,0,T_PCT1,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_48,2559.760775,0,T1,0,T_PCT1,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_37,2920.290462,0,T1,0,T_PCT1,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_39,5317.812879,0,T1,0,T_PCT1,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_6,5317.812879,4292,T1,4.121414648,T_PCT1,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_12,937.3771854,627,T1,0.602079912,T_PCT1,CBS408.71,Basidiomycota,Sparassis crispa,0.009001212
OTU_36,8247.116583,0,T1,0,T_PCT1,CBS107.57,Basidiomycota,Suillus brevipes,0.079193353
OTU_26,1928.833824,0,T1,0,T_PCT1,CBS6965,Basidiomycota,Tremella aurantia,0.018521724
OTU_8,1928.833824,6415,T1,6.160036106,T_PCT1,CBS6965,Basidiomycota,Tremella aurantia,0.018521724
OTU_38,946.3904276,0,T1,0,T_PCT1,CBS119120,Ascomycota,Trichoderma theobromicola,0.009087762
OTU_55,946.3904276,0,T1,0,T_PCT1,CBS119120,Ascomycota,Trichoderma theobromicola,0.009087762
OTU_47,2325.416479,4,T1,0.00384102,T_PCT1,CBS385.35,Ascomycota,Xylaria mali,0.022329929
OTU_10,0,0,T1,0,T_PCT1,,,,
OTU_25,0,128,T1,0.122912646,T_PCT1,,,,
OTU_44,0,7,T1,0.006721785,T_PCT1,,,,
OTU_1,3410.652588,30771,T2,39.82373039,T_PCT2,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557
OTU_50,3410.652588,0,T2,0,T_PCT2,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557
OTU_15,1805.639605,1834,T2,2.373556971,T_PCT2,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853
OTU_33,1805.639605,0,T2,0,T_PCT2,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853
OTU_3,4413.785702,0,T2,0,T_PCT2,CBS675.73,Chytridiomycota,Chytridium confervae,0.057123074
OTU_27,1029.88333,280,T2,0.36237511,T_PCT2,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_43,1029.88333,2,T2,0.002588394,T_PCT2,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_45,1029.88333,0,T2,0,T_PCT2,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_52,996.44556,5,T2,0.006470984,T_PCT2,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_20,845.9755929,0,T2,0,T_PCT2,CBS124948,Ascomycota,Colletotrichum tropicale,0.010948589
OTU_11,3477.528129,2510,T2,3.248434022,T_PCT2,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_29,3477.528129,0,T2,0,T_PCT2,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_32,3477.528129,0,T2,0,T_PCT2,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_41,3477.528129,0,T2,0,T_PCT2,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_54,3477.528129,1,T2,0.001294197,T_PCT2,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_22,3477.528129,665,T2,0.860640886,T_PCT2,CBS197.82,Ascomycota,Dendrothyrium variisporum,0.045006059
OTU_13,615.2549766,801,T2,1.036651654,T_PCT2,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261
OTU_14,615.2549766,0,T2,0,T_PCT2,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261
OTU_49,615.2549766,3,T2,0.00388259,T_PCT2,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261
OTU_30,996.44556,0,T2,0,T_PCT2,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_51,996.44556,1,T2,0.001294197,T_PCT2,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_53,996.44556,0,T2,0,T_PCT2,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_9,996.44556,1820,T2,2.355438215,T_PCT2,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_7,675.4429635,0,T2,0,T_PCT2,CBS107930,Basidiomycota,Hericium abietis,0.008741561
OTU_24,1819.014714,519,T2,0.67168815,T_PCT2,CBS130859,Ascomycota,Hypocrea orientalis,0.023541631
OTU_21,7757.562749,1048,T2,1.356318269,T_PCT2,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131
OTU_35,7757.562749,0,T2,0,T_PCT2,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131
OTU_17,1350.885927,896,T2,1.159600352,T_PCT2,CBS6001,Basidiomycota,Malassezia,0.017483123
OTU_42,3544.40367,210,T2,0.271781333,T_PCT2,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156
OTU_5,3544.40367,4102,T2,5.308795362,T_PCT2,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156
OTU_16,2073.141769,1893,T2,2.449914583,T_PCT2,CBS210.32,Zygomycota,Mortierella alpina,0.026830535
OTU_28,2033.016445,122,T2,0.157892012,T_PCT2,CBS122753,Ascomycota,Neophaeomoniella zymoides,0.026311234
OTU_4,7891.313831,18248,T2,23.6165036,T_PCT2,CBS251.37,Basidiomycota,Panaeolina foenisecii,0.102129133
OTU_23,2166.767526,626,T2,0.81016721,T_PCT2,CBS186.71,Ascomycota,Pestalotiopsis chamaeropis,0.028042236
OTU_2,314.3150424,1839,T2,2.380027955,T_PCT2,P3112,Basidiomycota,Pucciniomycotina,0.004067855
OTU_18,1899.265363,0,T2,0,T_PCT2,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_19,1899.265363,1868,T2,2.417559662,T_PCT2,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_31,1899.265363,0,T2,0,T_PCT2,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_34,1899.265363,0,T2,0,T_PCT2,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_40,1899.265363,0,T2,0,T_PCT2,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_46,1899.265363,3,T2,0.00388259,T_PCT2,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_48,1899.265363,0,T2,0,T_PCT2,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_37,2166.767526,0,T2,0,T_PCT2,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_39,3945.656915,0,T2,0,T_PCT2,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_6,3945.656915,4261,T2,5.514572656,T_PCT2,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_12,695.5056258,455,T2,0.588859554,T_PCT2,CBS408.71,Basidiomycota,Sparassis crispa,0.009001212
OTU_36,6119.111996,69,T2,0.089299581,T_PCT2,CBS107.57,Basidiomycota,Suillus brevipes,0.079193353
OTU_26,1431.136576,0,T2,0,T_PCT2,CBS6965,Basidiomycota,Tremella aurantia,0.018521724
OTU_8,1431.136576,2271,T2,2.939120982,T_PCT2,CBS6965,Basidiomycota,Tremella aurantia,0.018521724
OTU_38,702.1931799,0,T2,0,T_PCT2,CBS119120,Ascomycota,Trichoderma theobromicola,0.009087762
OTU_55,702.1931799,0,T2,0,T_PCT2,CBS119120,Ascomycota,Trichoderma theobromicola,0.009087762
OTU_47,1725.388956,13,T2,0.016824559,T_PCT2,CBS385.35,Ascomycota,Xylaria mali,0.022329929
OTU_10,0,0,T2,0,T_PCT2,,,,
OTU_25,0,131,T2,0.169539784,T_PCT2,,,,
OTU_44,0,1,T2,0.001294197,T_PCT2,,,,
OTU_1,2861.853038,26390,T3,40.70332382,T_PCT3,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557
OTU_50,2861.853038,0,T3,0,T_PCT3,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557
OTU_15,1515.098667,1456,T3,2.245700625,T_PCT3,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853
OTU_33,1515.098667,0,T3,0,T_PCT3,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853
OTU_3,3703.57452,0,T3,0,T_PCT3,CBS675.73,Chytridiomycota,Chytridium confervae,0.057123074
OTU_27,864.1673879,227,T3,0.350119534,T_PCT3,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_43,864.1673879,0,T3,0,T_PCT3,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_45,864.1673879,0,T3,0,T_PCT3,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_52,836.1100052,0,T3,0,T_PCT3,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_20,709.8517829,0,T3,0,T_PCT3,CBS124948,Ascomycota,Colletotrichum tropicale,0.010948589
OTU_11,2917.967803,1994,T3,3.075499344,T_PCT3,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_29,2917.967803,0,T3,0,T_PCT3,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_32,2917.967803,0,T3,0,T_PCT3,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_41,2917.967803,0,T3,0,T_PCT3,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_54,2917.967803,1,T3,0.001542377,T_PCT3,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_22,2917.967803,611,T3,0.942392226,T_PCT3,CBS197.82,Ascomycota,Dendrothyrium variisporum,0.045006059
OTU_13,516.2558421,726,T3,1.119765559,T_PCT3,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261
OTU_14,516.2558421,0,T3,0,T_PCT3,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261
OTU_49,516.2558421,2,T3,0.003084754,T_PCT3,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261
OTU_30,836.1100052,0,T3,0,T_PCT3,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_51,836.1100052,0,T3,0,T_PCT3,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_53,836.1100052,0,T3,0,T_PCT3,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_9,836.1100052,1566,T3,2.415362073,T_PCT3,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_7,566.759131,0,T3,0,T_PCT3,CBS107930,Basidiomycota,Hericium abietis,0.008741561
OTU_24,1526.32162,413,T3,0.637001619,T_PCT3,CBS130859,Ascomycota,Hypocrea orientalis,0.023541631
OTU_21,6509.312792,826,T3,1.274003239,T_PCT3,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131
OTU_35,6509.312792,0,T3,0,T_PCT3,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131
OTU_17,1133.518262,814,T3,1.255494717,T_PCT3,CBS6001,Basidiomycota,Malassezia,0.017483123
OTU_42,2974.082569,194,T3,0.2992211,T_PCT3,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156
OTU_5,2974.082569,3550,T3,5.475437649,T_PCT3,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156
OTU_16,1739.557729,1565,T3,2.413819696,T_PCT3,CBS210.32,Zygomycota,Mortierella alpina,0.026830535
OTU_28,1705.88887,89,T3,0.137271535,T_PCT3,CBS122753,Ascomycota,Neophaeomoniella zymoides,0.026311234
OTU_4,6621.542323,14995,T3,23.12794016,T_PCT3,CBS251.37,Basidiomycota,Panaeolina foenisecii,0.102129133
OTU_23,1818.118401,548,T3,0.845222488,T_PCT3,CBS186.71,Ascomycota,Pestalotiopsis chamaeropis,0.028042236
OTU_2,263.7393976,1476,T3,2.276548161,T_PCT3,P3112,Basidiomycota,Pucciniomycotina,0.004067855
OTU_18,1593.659339,0,T3,0,T_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_19,1593.659339,1344,T3,2.072954423,T_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_31,1593.659339,0,T3,0,T_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_34,1593.659339,0,T3,0,T_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_40,1593.659339,0,T3,0,T_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_46,1593.659339,0,T3,0,T_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_48,1593.659339,0,T3,0,T_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_37,1818.118401,0,T3,0,T_PCT3,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_39,3310.771162,0,T3,0,T_PCT3,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_6,3310.771162,3524,T3,5.435335853,T_PCT3,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_12,583.5935607,348,T3,0.536747127,T_PCT3,CBS408.71,Basidiomycota,Sparassis crispa,0.009001212
OTU_36,5134.501039,62,T3,0.095627362,T_PCT3,CBS107.57,Basidiomycota,Suillus brevipes,0.079193353
OTU_26,1200.855981,0,T3,0,T_PCT3,CBS6965,Basidiomycota,Tremella aurantia,0.018521724
OTU_8,1200.855981,2026,T3,3.124855402,T_PCT3,CBS6965,Basidiomycota,Tremella aurantia,0.018521724
OTU_38,589.2050372,0,T3,0,T_PCT3,CBS119120,Ascomycota,Trichoderma theobromicola,0.009087762
OTU_55,589.2050372,0,T3,0,T_PCT3,CBS119120,Ascomycota,Trichoderma theobromicola,0.009087762
OTU_47,1447.760949,5,T3,0.007711884,T_PCT3,CBS385.35,Ascomycota,Xylaria mali,0.022329929
OTU_10,0,0,T3,0,T_PCT3,,,,
OTU_25,0,81,T3,0.124932521,T_PCT3,,,,
OTU_44,0,2,T3,0.003084754,T_PCT3,,,,
