"OTU_ID","Even_Tier","Observed","Expected","Relative_Abundance","log10Expected","log10Observed"
"OTU_1","T1",46025,2031.569135925,42.3078337286048,3.30783160630301,4.66299379717605
"OTU_1","T2",30772,1358.293220004,37.7422361772065,3.13299353289266,4.48815572376571
"OTU_1","T3",30772,1358.293220004,37.7422361772065,3.13299353289266,4.48815572376571
"OTU_1","E1",25754,1136.795904978,25.162185399406,3.05568250048533,4.41084469135838
"OTU_1","E2",30015,1324.878818355,29.2449796848967,3.12217615681885,4.47733834769189
"OTU_1","E3",24689,1089.786211773,23.905150127325,3.0373413088087,4.39250349968175
"OTU_2","T1",1923,7.822485165,1.76769069549391,0.893344748198576,3.28397928423848
"OTU_2","T2",1839,7.480785345,2.25555610067213,0.873947193198174,3.26458172923808
"OTU_2","T3",1839,7.480785345,2.25555610067213,0.873947193198174,3.26458172923808
"OTU_2","E1",27082,110.16564911,26.4596685946537,2.04204619771362,4.43268073375352
"OTU_2","E2",21500,87.4588825,20.9484278935625,1.9418039238757,4.3324384599156
"OTU_2","E3",28919,117.638298745,28.0008520609224,2.07054873522468,4.46118327126459
"OTU_5","T1",5358,245.77981848,4.92526611880205,2.39054621914194,3.72900270927219
"OTU_5","T2",4102,188.16513912,5.03115341215719,2.2745391659021,3.61299565603235
"OTU_5","T3",4102,188.16513912,5.03115341215719,2.2745391659021,3.61299565603235
"OTU_5","E1",7404,339.63303024,7.23385962169767,2.53100991995062,3.86946641008087
"OTU_5","E2",10021,459.67890276,9.76391608936697,2.66245457200097,4.00091106213122
"OTU_5","E3",7061,323.89908516,6.83682065085836,2.51040972136453,3.84886621149478
"OTU_9","T1",2285,29.467284595,2.10045410254996,1.46934011753498,3.35888620440587
"OTU_9","T2",2303,29.699412001,2.82465780307119,1.47274785109334,3.36229393796423
"OTU_9","T3",2303,29.699412001,2.82465780307119,1.47274785109334,3.36229393796423
"OTU_9","E1",6172,79.593908324,6.03017039237142,1.90087983052022,3.79042591739111
"OTU_9","E2",3083,39.758266261,3.00390712538852,1.59942743785562,3.48897352472651
"OTU_9","E3",6860,88.46633362,6.64220219018387,1.94677802883586,3.83632411570675
"OTU_7","T1",672,5.874328992,0.617726545695218,0.768958265545503,2.82736927305383
"OTU_7","T2",313,2.736108593,0.383898346661434,0.437133330038127,2.49554433754645
"OTU_7","T3",313,2.736108593,0.383898346661434,0.437133330038127,2.49554433754645
"OTU_7","E1",5324,46.540070764,5.20165702673128,1.66782703929432,3.72623804680264
"OTU_7","E2",5133,44.870432613,5.00131536640262,1.65196025675244,3.71037126426076
"OTU_7","E3",5498,48.061102378,5.32344426262841,1.68179372799913,3.74020473550745
"OTU_8","T1",6415,118.81685946,5.89689849796849,2.07487806902015,3.80719666071095
"OTU_8","T2",2271,42.062835204,2.78540940980229,1.62389854252894,3.35621713421974
"OTU_8","T3",2271,42.062835204,2.78540940980229,1.62389854252894,3.35621713421974
"OTU_8","E1",4298,79.606369752,4.19923401594497,1.90094781946463,3.63326641115542
"OTU_8","E2",7694,142.506144456,7.49661414944511,2.15383359028,3.8861521819708
"OTU_8","E3",3668,67.937683632,3.55154484454729,1.83211073530719,3.56442932699798
"OTU_6","T1",4292,219.169117272,3.94536061625577,2.34077935846536,3.63265971329391
"OTU_6","T2",4261,217.586115726,5.22616886621204,2.3376311793719,3.62951153420045
"OTU_6","T3",4261,217.586115726,5.22616886621204,2.3376311793719,3.62951153420045
"OTU_6","E1",3457,176.530204662,3.37755979365328,2.24681902471385,3.53869937954241
"OTU_6","E2",6329,323.187638214,6.16663256457475,2.50945474084599,3.80133509567455
"OTU_6","E3",3003,153.346891698,2.90765789753967,2.18567497737043,3.47755533219898
"OTU_12","T1",627,5.643759924,0.576360928795985,0.751568531322635,2.79726754083072
"OTU_12","T2",455,4.09555146,0.55806309179218,0.612312387149031,2.65801139665711
"OTU_12","T3",455,4.09555146,0.55806309179218,0.612312387149031,2.65801139665711
"OTU_12","E1",3197,28.776874764,3.12353446928248,1.45904362676361,3.50474263627169
"OTU_12","E2",4522,40.703480664,4.40599027603208,1.60963154850126,3.65533055800934
"OTU_12","E3",3343,30.091051716,3.23686325390447,1.47843736708449,3.52413637659257
"OTU_13","T1",823,6.55322803,0.756531171290423,0.816455280186827,2.91539983521227
"OTU_13","T2",801,6.37805061,0.982436344012167,0.804687961058794,2.90363251608424
"OTU_13","T3",801,6.37805061,0.982436344012167,0.804687961058794,2.90363251608424
"OTU_13","E1",4099,32.63873839,4.00480694075348,1.51373336329106,3.6126779183165
"OTU_13","E2",2912,23.18712032,2.83729404772344,1.36524681561556,3.464191370641
"OTU_13","E3",3981,31.69915041,3.85460742261253,1.50104762255865,3.5999921775841
"OTU_4","T1",23924,2443.337377892,21.9918004154946,3.3879834388279,4.37883379374007
"OTU_4","T2",18248,1863.652418984,22.3813962615905,3.27036491735642,4.26121527226859
"OTU_4","T3",18248,1863.652418984,22.3813962615905,3.27036491735642,4.26121527226859
"OTU_4","E1",3443,351.630604919,3.36388150695639,2.5460866677925,3.53693702270467
"OTU_4","E2",2235,228.258612255,2.17766215544708,2.35842717255579,3.34927752746796
"OTU_4","E3",3850,393.19716205,3.72776653530727,2.59461037459633,3.5854607295085
"OTU_20","T1",203,2.222563567,0.186604894012097,0.346854190970728,2.30749603791321
"OTU_20","T2",107,1.171499023,0.131236814992886,0.0687419307427248,2.02938377768521
"OTU_20","T3",107,1.171499023,0.131236814992886,0.0687419307427248,2.02938377768521
"OTU_20","E1",1743,19.083390627,1.7029466937627,1.28065554016751,3.24129738710999
"OTU_20","E2",1733,18.973904737,1.68854072276948,1.27815671577143,3.23879856271392
"OTU_20","E3",1703,18.645447067,1.64893153496839,1.27057280102012,3.2312146479626
"OTU_15","T1",1675,39.14228775,1.53972018458257,1.59264620528124,3.22401481137286
"OTU_15","T2",1834,42.85788402,2.24942353922386,1.63203072524237,3.263399331334
"OTU_15","T3",1834,42.85788402,2.24942353922386,1.63203072524237,3.263399331334
"OTU_15","E1",2016,47.11095648,1.96967328435204,1.67312192168186,3.30449052777349
"OTU_15","E2",938,21.91968114,0.913936063449378,1.34083423228744,2.97220283837906
"OTU_15","E3",2132,49.82170596,2.06431123461691,1.69741859426291,3.32878720035453
"OTU_17","T1",930,16.25930439,0.854889415917489,1.21110196155038,2.96848294855394
"OTU_17","T2",896,15.664878208,1.09895501152922,1.19492702265857,2.95230800966213
"OTU_17","T3",896,15.664878208,1.09895501152922,1.19492702265857,2.95230800966213
"OTU_17","E1",1484,25.944954532,1.44989838987025,1.41405291393945,3.17143390094301
"OTU_17","E2",2065,36.102648995,2.01202342326542,1.55753906898886,3.31492005599242
"OTU_17","E3",1453,25.402977719,1.40686877293545,1.40488462729447,3.16226561429802
"OTU_25","T1",128,0,0.117662199180042,0,2.10720996964787
"OTU_25","T2",131,0,0.160673109944562,0,2.11727129565576
"OTU_25","T3",131,0,0.160673109944562,0,2.11727129565576
"OTU_25","E1",821,0,0.802133812724715,0,2.91434315711944
"OTU_25","E2",1158,0,1.12829206980211,0,3.06370855939142
"OTU_25","E3",775,0,0.750394562302114,0,2.88930170250631
"OTU_11","T1",2874,129.347413566,2.64188406596437,2.11175774897646,3.45848676379821
"OTU_11","T2",3139,141.274019201,3.85002207722121,2.15006230087829,3.49679131570004
"OTU_11","T3",3139,141.274019201,3.85002207722121,2.15006230087829,3.49679131570004
"OTU_11","E1",1122,50.496798198,1.09621697670783,1.70326384209839,3.04999285692014
"OTU_11","E2",257,11.566557163,0.250406789239328,1.06320410850954,2.40993312333129
"OTU_11","E3",1237,55.672494983,1.19772654653899,1.74564068480737,3.09236969962912
"OTU_16","T1",1848,49.58282868,1.69874800066185,1.69533129946029,3.26670196688409
"OTU_16","T2",1893,50.790202755,2.3217877643134,1.70577994654,3.2771506139638
"OTU_16","T3",1893,50.790202755,2.3217877643134,1.70577994654,3.2771506139638
"OTU_16","E1",910,24.41578685,0.889088635297796,1.38767072489729,2.95904139232109
"OTU_16","E2",547,14.676302645,0.532966979431567,1.16661665890963,2.73798732633343
"OTU_16","E3",967,25.945127345,0.936298763543411,1.4140558066592,2.985426474083
"OTU_3","T1",2421,138.294962154,2.22547018917875,2.14080635980151,3.38399478944173
"OTU_3","T2",2557,146.063700218,3.13619192464308,2.16454229838611,3.40773072802634
"OTU_3","T3",2557,146.063700218,3.13619192464308,2.16454229838611,3.40773072802634
"OTU_3","E1",856,48.897351344,0.836329529466938,1.68928533503693,2.93247376467715
"OTU_3","E2",564,32.217413736,0.549530852649733,1.50809067434312,2.75127910398334
"OTU_3","E3",863,49.297212862,0.835600654537708,1.69282236607499,2.93601079571521
"OTU_22","T1",852,38.345162268,0.783189013292152,1.58371057994495,2.9304395947667
"OTU_22","T2",665,29.929029235,0.81563067261934,1.47609263048135,2.8228216453031
"OTU_22","T3",665,29.929029235,0.81563067261934,1.47609263048135,2.8228216453031
"OTU_22","E1",657,29.568980763,0.641902454275442,1.47083635473803,2.81756536955978
"OTU_22","E2",288,12.961744992,0.280611499225395,1.11266347293748,2.45939248775923
"OTU_22","E3",600,27.0036354,0.580950628879056,1.43142223556189,2.77815125038364
"OTU_42","T1",308,14.12844048,0.283124666776975,1.1500942263702,2.48855071650044
"OTU_42","T2",210,9.6330276,0.25756758082716,0.98376280460367,2.32221929473392
"OTU_42","T3",210,9.6330276,0.25756758082716,0.98376280460367,2.32221929473392
"OTU_42","E1",407,18.66972492,0.397647334688135,1.27113791909497,2.60959440922522
"OTU_42","E2",520,23.8532112,0.506659651379186,1.37754685350455,2.7160033436348
"OTU_42","E3",362,16.60550472,0.350506879423697,1.22025208040292,2.55870857053317
"OTU_24","T1",593,13.960187183,0.545106907138786,1.14489124149624,2.77305469336426
"OTU_24","T2",519,12.218106489,0.636559878329981,1.08700390598044,2.71516735784846
"OTU_24","T3",519,12.218106489,0.636559878329981,1.08700390598044,2.71516735784846
"OTU_24","E1",396,9.322485876,0.386900109426294,0.96953173405749,2.59769518592551
"OTU_24","E2",195,4.590618045,0.189997369267195,0.661871159494495,2.29003461136252
"OTU_24","E3",474,11.158733094,0.458950996814454,1.04761488980606,2.67577834167409
"OTU_21","T1",1372,137.746235732,1.26119169746107,2.13907973947912,3.13735411137073
"OTU_21","T2",1048,105.217241288,1.28538487955649,2.02208691075609,3.02036128264771
"OTU_21","T3",1048,105.217241288,1.28538487955649,2.02208691075609,3.02036128264771
"OTU_21","E1",353,35.440540243,0.344888228857277,1.54950033349621,2.54777470538782
"OTU_21","E2",307,30.822226217,0.299124063410404,1.48886400358557,2.48713837547719
"OTU_21","E3",402,40.360048662,0.389236921348967,1.60595168119285,2.60422605308447
"OTU_27","T1",233,3.105591061,0.214181971944919,0.492144267991492,2.36735592102602
"OTU_27","T2",280,3.73204076,0.34342344110288,0.571946378307693,2.44715803134222
"OTU_27","T3",280,3.73204076,0.34342344110288,0.571946378307693,2.44715803134222
"OTU_27","E1",484,6.451099028,0.472877911521026,0.809633708609886,2.68484536164441
"OTU_27","E2",138,1.839362946,0.134459676712169,0.26466743336671,2.13987908640124
"OTU_27","E3",433,5.771334461,0.419252703841052,0.761276243318839,2.63648789635337
"OTU_23","T1",645,18.08724222,0.592907175555678,1.25737235459126,2.80955971463527
"OTU_23","T2",785,22.01315526,0.962812147377717,1.34268229670125,2.89486965674525
"OTU_23","T3",785,22.01315526,0.962812147377717,1.34268229670125,2.89486965674525
"OTU_23","E1",369,10.347585084,0.360520556510864,1.01483900611506,2.56702636615906
"OTU_23","E2",182,5.103686952,0.177330877982715,0.707884027941071,2.26007138798507
"OTU_23","E3",377,10.571922972,0.365030645145673,1.02415399016179,2.57634135020579
"OTU_19","T1",2117,52.036351144,1.94602246612616,1.71630683566848,3.32572085801941
"OTU_19","T2",1868,45.915873376,2.29112495707207,1.66196284954314,3.27137687189407
"OTU_19","T3",1868,45.915873376,2.29112495707207,1.66196284954314,3.27137687189407
"OTU_19","E1",237,5.825514984,0.231553853368767,0.765334323659168,2.3747483460101
"OTU_19","E2",131,3.220010392,0.127639258328218,0.507857273304829,2.11727129565576
"OTU_19","E3",292,7.177427744,0.282729306054474,0.855968829097483,2.46538285144842
"OTU_28","T1",122,3.209970548,0.112146783593477,0.506501047700897,2.08635983067475
"OTU_28","T2",122,3.209970548,0.149634499337683,0.506501047700897,2.08635983067475
"OTU_28","T3",122,3.209970548,0.149634499337683,0.506501047700897,2.08635983067475
"OTU_28","E1",147,3.867751398,0.143622010317336,0.587458551774325,2.16731733474818
"OTU_28","E2",79,2.078587486,0.0769732931902994,0.31776830831659,1.89762709129044
"OTU_28","E3",169,4.446598546,0.163634427134267,0.648027921639822,2.22788670461367
"OTU_36","T1",68,5.385148004,0.0625080433143971,0.731197643834038,1.83250891270624
"OTU_36","T2",69,5.464341357,0.0846293479860668,0.737537821865057,1.83884909073726
"OTU_36","T3",69,5.464341357,0.0846293479860668,0.737537821865057,1.83884909073726
"OTU_36","E1",23,1.821447119,0.0224714710020322,0.260416567145394,1.36172783601759
"OTU_36","E2",18,1.425480354,0.0175382187015872,0.153961236231107,1.25527250510331
"OTU_36","E3",27,2.138220531,0.0261427782995575,0.330052495286789,1.43136376415899
"OTU_38","T1",7,0.063614334,0.00643465151765852,-1.19644501523677,0.845098040014257
"OTU_38","T2",10,0.09087762,0.0122651228965314,-1.04154305525103,1
"OTU_38","T3",10,0.09087762,0.0122651228965314,-1.04154305525103,1
"OTU_38","E1",24,0.218106288,0.0234484914803814,-0.661331813539426,1.38021124171161
"OTU_38","E2",18,0.163579716,0.0175382187015872,-0.786270550147726,1.25527250510331
"OTU_38","E3",24,0.218106288,0.0232380251551622,-0.661331813539426,1.38021124171161
