"","OTU","kingdom","phylum","class","order","family","genus","species","s.E-","s.E+","index","stat","p.value","p.adj"
"1","OTU_1","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_fructicola",0,1,2,0.110399351623093,0.001,0.0196206896551724
"2","OTU_10","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Neopestalotiopsis","Neopestalotiopsis_sp",0,1,2,0.196181855003273,0.001,0.0196206896551724
"3","OTU_36","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes_sp",0,1,2,0.415160174450356,0.001,0.0196206896551724
"4","OTU_39","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unidentified","unidentified","Hypocreales_sp",0,1,2,0.30055971323714,0.001,0.0196206896551724
"5","OTU_31","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_longicolla",0,1,2,0.208467660152137,0.001,0.0196206896551724
"6","OTU_35","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Wallrothiella","Wallrothiella_subiculosa",0,1,2,0.271211543413977,0.001,0.0196206896551724
"7","OTU_34","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_gigasporum",0,1,2,0.273377196866413,0.001,0.0196206896551724
"8","OTU_42","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes_sp",0,1,2,0.416079427821506,0.001,0.0196206896551724
"9","OTU_46","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Pseudopestalotiopsis","Pseudopestalotiopsis_sp",0,1,2,0.192219171402046,0.001,0.0196206896551724
"10","OTU_60","Fungi","Ascomycota","Sordariomycetes","Hypoceales","Amplistromataceae","Amplistroma","Amplistroma_erinaceum",0,1,2,0.319109489579634,0.001,0.0196206896551724
"11","OTU_62","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","Xylaria_sp",0,1,2,0.236387700599053,0.001,0.0196206896551724
"12","OTU_49","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","Acremonium_sp",0,1,2,0.173620746975322,0.001,0.0196206896551724
"13","OTU_52","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota_sp",0,1,2,0.289104262671234,0.001,0.0196206896551724
"14","OTU_114","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes_sp",0,1,2,0.153098338897763,0.002,0.0379333333333333
"15","OTU_99","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_sp",0,1,2,0.210442301630232,0.001,0.0196206896551724
"16","OTU_77","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","Acremonium_hennebertii",0,1,2,0.269544726623691,0.001,0.0196206896551724
"17","OTU_223","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_sp",0,1,2,0.179472329837848,0.001,0.0196206896551724
"18","OTU_100","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","Acremonium_hennebertii",0,1,2,0.26208713668398,0.001,0.0196206896551724
"19","OTU_92","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes_sp",0,1,2,0.293191960116562,0.001,0.0196206896551724
"20","OTU_108","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Leptosphaeria","Leptosphaeria_modesta",0,1,2,0.282473625116771,0.001,0.0196206896551724
"21","OTU_179","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_melonis",0,1,2,0.223022106856942,0.001,0.0196206896551724
"22","OTU_94","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Oxydothis","Oxydothis_garethjonesii",0,1,2,0.300284988472731,0.001,0.0196206896551724
"23","OTU_106","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","unidentified","Xylariaceae_sp",0,1,2,0.256353734416244,0.001,0.0196206896551724
"24","OTU_126","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","unidentified","unidentified","Chaetothyriales_sp",0,1,2,0.307899818936876,0.001,0.0196206896551724
"25","OTU_146","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","unidentified","Plectosphaerellaceae_sp",0,1,2,0.129700260038012,0.001,0.0196206896551724
"26","OTU_148","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_ord_Incertae_sedis","Sordariomycetes_fam_Incertae_sedis","Distoseptispora","Distoseptispora_sp",0,1,2,0.287647493565129,0.001,0.0196206896551724
"27","OTU_278","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Phialophora","Phialophora_geniculata",0,1,2,0.30087130256225,0.001,0.0196206896551724
"28","OTU_390","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","Plectosphaerella_cucumerina",0,1,2,0.196553519920682,0.001,0.0196206896551724
"29","OTU_201","Fungi","Ascomycota","Dothideomycetes","unidentified","unidentified","unidentified","Dothideomycetes_sp",0,1,2,0.268722302959956,0.001,0.0196206896551724
"30","OTU_709","Fungi","Ascomycota","Sordariomycetes","Xylariales","Beltraniaceae","Beltraniella","Beltraniella_endiandrae",0,1,2,0.204150849264162,0.001,0.0196206896551724
